Site ID,Start date,End date
I08,2010-09-06,2010-09-20
I08,2011-03-08,2011-08-07
I08,2011-09-15,2012-12-27
I09,2010-08-30,2010-10-12
I09,2011-02-14,2011-06-14
I09,2011-09-15,2012-01-13
I10,2011-02-14,2011-02-15
I10,2011-03-05,2011-07-04
I10,2011-09-09,2011-12-16
I10,2012-03-13,2012-04-14
I10,2012-05-21,2012-06-11
I10,2012-08-05,2012-08-14
I11,2010-09-17,2010-09-18
I11,2011-03-04,2011-07-02
I11,2011-09-09,2012-01-16
I11,2012-03-13,2012-05-21
I11,2012-05-29,2012-12-09
I11,2012-12-11,2013-02-01
I12,2010-09-08,2010-09-19
I12,2011-02-14,2011-02-15
I12,2011-03-03,2011-06-19
I12,2011-09-09,2011-10-23
I12,2011-11-05,2011-12-21
I12,2012-01-16,2012-06-08
I12,2012-08-02,2012-10-05
I12,2012-10-06,2012-11-23
I12,2012-12-11,2013-01-31
I12,2013-02-01,2013-04-13
I13,2010-09-08,2010-11-03
I13,2011-02-14,2011-04-02
I13,2011-09-09,2011-12-03
I13,2011-12-08,2012-07-09
I13,2012-08-02,2012-10-02
I13,2012-10-06,2012-11-16
I13,2012-12-11,2012-12-19
I13,2013-02-11,2013-02-11
J01,2012-02-23,2012-07-24
J01,2012-07-30,2013-02-07
J02,2011-11-19,2011-12-26
J02,2012-01-01,2012-02-23
J02,2012-05-01,2012-07-11
J02,2012-07-30,2013-04-09
J03,2010-09-02,2010-11-06
J03,2011-02-09,2011-07-11
J03,2011-09-25,2011-11-01
J03,2011-11-02,2012-04-29
J03,2012-05-01,2012-07-29
J03,2012-07-30,2013-01-23
J04,2010-07-29,2010-10-05
J04,2011-02-10,2011-06-04
J04,2011-09-06,2012-01-01
J04,2012-03-14,2012-05-27
J04,2012-05-31,2013-02-07
J05,2010-07-29,2010-11-02
J05,2011-03-02,2011-05-21
J05,2011-05-26,2011-07-07
J05,2011-09-06,2011-10-25
J05,2012-01-01,2012-05-29
J05,2012-05-31,2013-04-24
J06,2010-08-08,2010-11-02
J06,2011-03-02,2011-03-24
J06,2011-04-15,2011-05-24
J06,2011-05-26,2011-07-31
J06,2011-09-06,2012-05-21
J06,2012-05-23,2013-01-21
J06,2013-02-07,2013-04-24
J07,2010-09-06,2010-11-02
J07,2011-03-07,2011-08-05
J07,2011-09-15,2012-03-05
J07,2012-03-22,2012-05-13
J07,2012-05-23,2012-06-11
J07,2012-08-09,2012-10-19
J07,2012-10-21,2013-03-02
J08,2010-09-06,2010-11-02
J08,2011-02-16,2011-08-07
J08,2011-09-15,2011-11-07
J08,2011-11-12,2012-03-24
J08,2012-06-11,2013-04-08
J09,2010-09-04,2010-10-18
J09,2011-02-18,2011-03-10
J09,2011-09-15,2012-01-09
J09,2012-01-13,2012-04-08
J09,2012-06-11,2012-06-15
J09,2012-08-13,2012-10-27
J09,2012-12-15,2013-04-14
J10,2010-09-09,2010-11-05
J10,2011-03-05,2011-05-03
J10,2011-05-17,2011-06-12
J10,2011-09-15,2012-04-30
J10,2012-05-29,2012-06-09
J10,2013-02-23,2013-03-01
J11,2010-09-09,2010-10-12
J11,2011-05-18,2011-07-24
J11,2011-09-17,2012-02-17
J12,2010-09-09,2010-10-19
J12,2011-03-02,2011-04-17
J12,2011-05-18,2011-06-16
J12,2011-09-09,2013-02-15
J13,2010-09-09,2010-09-19
J13,2011-03-03,2011-08-01
J13,2011-09-09,2011-12-10
J13,2012-01-16,2012-03-16
J13,2013-02-01,2013-03-20
K02,2012-05-01,2013-04-09
K03,2010-09-02,2010-11-07
K03,2011-02-23,2011-07-26
K03,2011-09-03,2012-01-01
K03,2012-03-19,2012-05-25
K03,2012-05-26,2012-06-23
K03,2012-08-11,2012-08-27
K03,2012-10-20,2012-10-23
K03,2012-12-19,2013-04-07
K04,2010-07-28,2010-08-27
K04,2011-02-09,2011-04-16
K04,2011-09-06,2012-01-01
K04,2012-03-19,2012-07-07
K04,2012-08-16,2013-04-09
K05,2010-09-02,2010-09-04
K05,2011-02-10,2011-07-29
K05,2011-09-06,2012-01-01
K06,2010-07-29,2010-08-03
K06,2011-02-10,2011-07-31
K06,2011-09-06,2012-03-14
K07,2010-09-04,2010-11-02
K07,2011-03-07,2011-06-14
K07,2011-06-16,2011-08-05
K07,2011-09-15,2012-06-13
K07,2012-08-13,2012-12-14
K08,2010-09-04,2010-11-02
K08,2011-02-16,2011-03-08
K08,2011-11-02,2011-12-30
K08,2012-03-24,2012-04-30
K08,2012-05-31,2012-08-20
K08,2012-10-14,2012-12-10
K08,2012-12-15,2013-04-24
K09,2010-09-04,2010-11-05
K09,2011-02-18,2011-03-10
K09,2012-03-02,2012-03-24
K09,2013-02-02,2013-02-06
K10,2010-09-19,2010-10-18
K10,2011-09-15,2011-11-07
K10,2012-01-13,2012-05-26
K10,2012-06-11,2012-08-01
K10,2012-08-13,2013-01-27
K10,2013-02-23,2013-03-04
K11,2010-09-09,2010-09-27
K11,2011-02-18,2011-05-17
K11,2011-09-17,2011-12-31
K11,2012-01-13,2012-01-25
K11,2012-03-24,2012-04-27
K12,2010-09-19,2010-09-25
K12,2011-09-17,2012-02-29
K12,2012-03-24,2012-05-21
K12,2012-05-29,2012-08-07
K12,2012-08-13,2013-01-01
K12,2013-02-28,2013-02-28
K13,2010-09-19,2010-09-24
K13,2011-02-18,2011-03-10
L01,2012-02-23,2013-01-25
L02,2012-05-01,2012-05-26
L02,2012-07-30,2013-01-28
L02,2013-02-07,2013-04-09
L03,2010-09-11,2010-11-07
L03,2011-02-08,2011-07-26
L03,2011-10-21,2011-11-02
L03,2012-03-19,2012-05-23
L03,2012-05-26,2012-09-24
L03,2012-10-20,2013-01-31
L03,2013-02-21,2013-04-21
L04,2010-09-02,2010-11-07
L04,2011-02-09,2011-03-13
L04,2011-04-25,2011-07-26
L04,2011-09-06,2011-11-02
L04,2012-05-26,2012-09-06
L04,2012-10-26,2012-11-23
L04,2012-12-19,2013-02-21
L04,2013-02-23,2013-04-09
L05,2010-09-02,2010-09-05
L05,2011-02-10,2011-07-30
L05,2011-09-06,2012-02-15
L05,2012-03-20,2012-05-17
L05,2012-05-26,2012-08-14
L05,2012-08-16,2012-08-18
L05,2012-10-26,2012-12-13
L05,2012-12-19,2013-01-26
L05,2013-02-21,2013-04-09
L06,2010-09-02,2010-10-15
L06,2011-09-06,2012-03-03
L06,2012-03-20,2012-08-16
L06,2012-10-26,2013-04-17
L07,2010-09-02,2010-11-03
L07,2011-02-16,2011-07-31
L07,2011-09-06,2011-11-02
L07,2011-11-03,2012-03-22
L08,2010-09-02,2010-10-29
L08,2011-03-08,2011-07-31
L08,2011-09-06,2012-04-24
L08,2012-05-31,2012-06-25
L08,2012-08-13,2012-08-13
L09,2011-03-10,2011-05-06
L09,2011-09-15,2011-12-25
L09,2012-08-13,2012-08-20
L09,2012-10-27,2012-11-02
L09,2013-01-05,2013-01-10
L10,2010-09-19,2010-10-26
L10,2011-03-22,2011-08-04
L10,2011-09-15,2012-05-31
L10,2012-06-11,2013-02-27
L10,2013-02-28,2013-04-05
L11,2011-09-17,2012-01-13
L11,2012-03-24,2012-06-24
L11,2012-08-13,2012-08-13
L11,2012-10-29,2012-12-22
L12,2010-09-09,2010-10-12
L12,2011-02-18,2011-04-01
L13,2010-09-19,2010-11-03
L13,2012-05-02,2012-12-26
L13,2013-02-01,2013-04-04
M02,2012-05-01,2013-01-24
M02,2013-02-07,2013-04-09
M03,2011-09-06,2011-11-02
M03,2012-03-19,2012-07-08
M03,2012-08-11,2012-08-22
M03,2012-10-20,2012-12-11
M03,2012-12-16,2013-03-05
M04,2010-09-11,2010-11-07
M04,2011-02-28,2011-04-11
M04,2011-04-27,2011-07-26
M04,2011-09-06,2011-11-02
M04,2012-03-19,2012-10-21
M04,2012-12-16,2012-12-17
M05,2010-09-03,2010-11-07
M05,2011-02-10,2011-07-30
M05,2011-09-06,2011-11-14
M06,2011-02-10,2011-03-05
M06,2011-04-27,2011-07-30
M06,2011-09-06,2013-02-16
